id,title,price,promo_price,url
3244613,Конструктор LEGO Technic Бетономешалка 42112,9499,5939,https://www.detmir.ru/product/index/id/3244613/
3405578,Конструктор LEGO My City Современный дом для семьи 60291,4499,2809,https://www.detmir.ru/product/index/id/3405578/
3226695,Конструктор LEGO City Nitro Wheels Тюнинг-мастерская 60258,8999,5729,https://www.detmir.ru/product/index/id/3226695/
3405532,Конструктор LEGO DUPLO Town Фермерский трактор сарай и животные 10952,6499,3899,https://www.detmir.ru/product/index/id/3405532/
3405643,Конструктор LEGO Star Wars Истребитель типа Х Люка Скайуокера 75301,4699,2959,https://www.detmir.ru/product/index/id/3405643/
3244579,Конструктор LEGO Super Mario Битва в замке Боузера 71369,8999,5399,https://www.detmir.ru/product/index/id/3244579/
3226727,Конструктор LEGO Super Heroes Железный человек 76140,999,639,https://www.detmir.ru/product/index/id/3226727/
3244510,Конструктор LEGO Friends Штаб спасателей 41424,7499,4689,https://www.detmir.ru/product/index/id/3244510/
3405555,Конструктор LEGO Friends Ветеринарная клиника Хартлейк-Сити 41446,3599,2269,https://www.detmir.ru/product/index/id/3405555/
3596771,Конструктор LEGO Creator Средневековый замок 31120,8999,5729,https://www.detmir.ru/product/index/id/3596771/
3596755,Конструктор LEGO DUPLO Town Семейное приключение на микроавтобусе 10946,2499,1529,https://www.detmir.ru/product/index/id/3596755/
3244590,Конструктор LEGO Ninjago Каменный робот огня 71720,6499,3929,https://www.detmir.ru/product/index/id/3244590/
3405537,Конструктор LEGO Creator Кибердрон 31111,899,609,https://www.detmir.ru/product/index/id/3405537/
3226589,Конструктор LEGO Creator Спортивный автомобиль 31100,899,579,https://www.detmir.ru/product/index/id/3226589/
3597049,Конструктор LEGO Speed Champions Chevrolet Corvette C8.R Race Car and 1968 Chevrolet Corvette 76903,3699,2179,https://www.detmir.ru/product/index/id/3597049/
3142016,Конструктор LEGO DUPLO My First Мои первые машинки 10886,1599,979,https://www.detmir.ru/product/index/id/3142016/
619001,Конструктор LEGO Classic Набор для творчества большого размера (10698),3799,2339,https://www.detmir.ru/product/index/id/619001/
3405655,Конструктор LEGO Technic Ferrari 488 GTE 42125,16899,10549,https://www.detmir.ru/product/index/id/3405655/
3226678,Конструктор LEGO City Great Vehicles Монстр-трак 60251,749,459,https://www.detmir.ru/product/index/id/3226678/
3226680,Конструктор LEGO City Great Vehicles Грузовик мороженщика 60253,1499,969,https://www.detmir.ru/product/index/id/3226680/
3405632,Конструктор LEGO Harry Potter Учёба в Хогвартсе Урок трансфигурации 76382,2799,1749,https://www.detmir.ru/product/index/id/3405632/
